NO.	ANG	POL	book_unit_lesson	part_of_speech	audio
1	a few	kilka	BG1_U1_L1	Słownictwo ogólne	1
2	agree	zgadzać się	BG1_U1_L1	Słownictwo ogólne	1
3	also	również	BG1_U1_L1	Słownictwo ogólne	1
4	age	wiek	BG1_U1_L1	Słownictwo ogólne	1
5	but	ale	BG1_U1_L1	Słownictwo ogólne	1
6	chat with	rozmawiać z	BG1_U1_L1	Słownictwo ogólne	1
7	enjoy	lubić	BG1_U1_L1	Słownictwo ogólne	1
8	especially	szczególnie	BG1_U1_L1	Słownictwo ogólne	1
9	famous	sławny	BG1_U1_L1	Słownictwo ogólne	1
10	forest	las	BG1_U1_L1	Słownictwo ogólne	1
11	I would like	chciałbym	BG1_U1_L1	Słownictwo ogólne	1
12	IT worker	informatyk	BG1_U1_L1	Słownictwo ogólne	1
13	in the future	w przyszłości	BG1_U1_L1	Słownictwo ogólne	1
14	interview	wywiad	BG1_U1_L1	Słownictwo ogólne	1
15	introduce somebody	przedstawić kogoś	BG1_U1_L1	Słownictwo ogólne	1
16	lifestyle	styl życia	BG1_U1_L1	Słownictwo ogólne	1
17	near	blisko	BG1_U1_L1	Słownictwo ogólne	1
18	originally	pierwotnie,oryginalnie	BG1_U1_L1	Słownictwo ogólne	1
19	passion	pasja	BG1_U1_L1	Słownictwo ogólne	1
20	politician	polityk	BG1_U1_L1	Słownictwo ogólne	1
21	question	pytanie	BG1_U1_L1	Słownictwo ogólne	1
22	success	sukces	BG1_U1_L1	Słownictwo ogólne	1
23	subject	przedmiot szkolny	BG1_U1_L1	Słownictwo ogólne	1
24	take part	brać udział	BG1_U1_L1	Słownictwo ogólne	1
25	teach	uczyć kogoś	BG1_U1_L1	Słownictwo ogólne	1
26	technology	technologia	BG1_U1_L1	Słownictwo ogólne	1
27	too	również	BG1_U1_L1	Słownictwo ogólne	1
28	twice a week	dwa razy w tygodniu	BG1_U1_L1	Słownictwo ogólne	1
29	volunteer	ochotnik	BG1_U1_L1	Słownictwo ogólne	1
30	welcome	witaj	BG1_U1_L1	Słownictwo ogólne	1
31	what else?	co jeszcze	BG1_U1_L1	Słownictwo ogólne	1
32	active	aktywny	BG1_U1_L1	Przymiotniki	1
33	ambitious	ambitny	BG1_U1_L1	Przymiotniki	1
34	bad	zły	BG1_U1_L1	Przymiotniki	1
35	bored	znudzony	BG1_U1_L1	Przymiotniki	1
36	boring	nudny	BG1_U1_L1	Przymiotniki	1
37	cute	słodki	BG1_U1_L1	Przymiotniki	1
38	difficult	trudny	BG1_U1_L1	Przymiotniki	1
39	early	wczesny wcześnie	BG1_U1_L1	Przymiotniki	1
40	easy 	łatwy	BG1_U1_L1	Przymiotniki	1
41	enthusiastic	entuzjastyczny	BG1_U1_L1	Przymiotniki	1
42	good	dobry	BG1_U1_L1	Przymiotniki	1
43	great	świetny	BG1_U1_L1	Przymiotniki	1
44	happy	szczęśliwy	BG1_U1_L1	Przymiotniki	1
45	hard-working	pracowity	BG1_U1_L1	Przymiotniki	1
46	intelligent	inteligentny	BG1_U1_L1	Przymiotniki	1
47	interesting	interesujący	BG1_U1_L1	Przymiotniki	1
48	lazy	leniwy	BG1_U1_L1	Przymiotniki	1
49	local	lokalny, miejscowy	BG1_U1_L1	Przymiotniki	1
50	noisy	hałaśliwy	BG1_U1_L1	Przymiotniki	1
51	slow	wolny	BG1_U1_L1	Przymiotniki	1
52	stressful	stresujący	BG1_U1_L1	Przymiotniki	1
53	stupid	głupi	BG1_U1_L1	Przymiotniki	1
54	surprised	zdziwiony	BG1_U1_L1	Przymiotniki	1
55	alone	sam	BG1_U1_L2	Przymiotniki	0
56	angry	zły	BG1_U1_L2	Przymiotniki	0
57	attractive	atrakcyjny	BG1_U1_L2	Przymiotniki	0
58	comfortable	wygodny	BG1_U1_L2	Przymiotniki	0
59	delicious	pyszny	BG1_U1_L2	Przymiotniki	0
60	early	wczesny, wcześnie	BG1_U1_L2	Przymiotniki	0
61	exciting	ekscytujący	BG1_U1_L2	Przymiotniki	0
62	friendly	przyjacielski	BG1_U1_L2	Przymiotniki	0
63	healthy	zdrowy	BG1_U1_L2	Przymiotniki	0
64	interested	zainteresowany	BG1_U1_L2	Przymiotniki	0
65	late	późno, późny	BG1_U1_L2	Przymiotniki	0
66	lazy	leniwy	BG1_U1_L2	Przymiotniki	0
67	lucky	szczęśliwy	BG1_U1_L2	Przymiotniki	0
68	modern	nowoczesny	BG1_U1_L2	Przymiotniki	0
69	nice	miły	BG1_U1_L2	Przymiotniki	0
70	similar	podobny	BG1_U1_L2	Przymiotniki	0
71	tasty	smaczny	BG1_U1_L2	Przymiotniki	0
72	worried	zmartwiony	BG1_U1_L2	Przymiotniki	0
73	all	wszystko	BG1_U1_L2	Słownictwo ogólne	0
74	anymore	już nie	BG1_U1_L2	Słownictwo ogólne	0
75	art	sztuka	BG1_U1_L2	Słownictwo ogólne	0
76	at the seaside	nad morzem	BG1_U1_L2	Słownictwo ogólne	0
77	basketball	koszykówka	BG1_U1_L2	Słownictwo ogólne	0
78	beef	wołowina	BG1_U1_L2	Słownictwo ogólne	0
79	biology	biologia	BG1_U1_L2	Słownictwo ogólne	0
80	camp	obóz	BG1_U1_L2	Słownictwo ogólne	0
81	cheese	ser	BG1_U1_L2	Słownictwo ogólne	0
82	chemistry	chemia	BG1_U1_L2	Słownictwo ogólne	0
83	cool	fajny	BG1_U1_L2	Słownictwo ogólne	0
84	cost	kosztować	BG1_U1_L2	Słownictwo ogólne	0
85	during	podczas	BG1_U1_L2	Słownictwo ogólne	0
86	equipment	sprzęt	BG1_U1_L2	Słownictwo ogólne	0
87	everything	wszystko	BG1_U1_L2	Słownictwo ogólne	0
88	fun	dobra zabawa	BG1_U1_L2	Słownictwo ogólne	0
89	lake	jezioro	BG1_U1_L2	Słownictwo ogólne	0
90	lettuce	sałata	BG1_U1_L2	Słownictwo ogólne	0
91	mountains	góry	BG1_U1_L2	Słownictwo ogólne	0
92	near	blisko	BG1_U1_L2	Słownictwo ogólne	0
93	offer	oferować, oferta	BG1_U1_L2	Słownictwo ogólne	0
94	onion	cebula	BG1_U1_L2	Słownictwo ogólne	0
95	pasta	makaron	BG1_U1_L2	Słownictwo ogólne	0
96	potatoes	ziemniaki	BG1_U1_L2	Słownictwo ogólne	0
97	postcard	pocztówka	BG1_U1_L2	Słownictwo ogólne	0
98	rice	ryż	BG1_U1_L2	Słownictwo ogólne	0
99	sandwich	kanapka	BG1_U1_L2	Słownictwo ogólne	0
100	sky	niebo	BG1_U1_L2	Słownictwo ogólne	0
101	the best	najlepszy	BG1_U1_L2	Słownictwo ogólne	0
102	volleyball	siatkówka	BG1_U1_L2	Słownictwo ogólne	0
103	weather	pogoda	BG1_U1_L2	Słownictwo ogólne	0
104	what's up?	co słychać?	BG1_U1_L2	Słownictwo ogólne	0
105	anyway	tak czy inaczej	BG1_U1_L3	Słownictwo ogólne	0
106	backpack	plecak	BG1_U1_L3	Słownictwo ogólne	0
107	be on a diet	być na diecie	BG1_U1_L3	Słownictwo ogólne	0
108	big	duży	BG1_U1_L3	Słownictwo ogólne	0
109	birthday wishes	życzenia urodzinowe	BG1_U1_L3	Słownictwo ogólne	0
110	giraffe	żyrafa	BG1_U1_L3	Słownictwo ogólne	0
111	give me a clue	podpowiedz mi	BG1_U1_L3	Słownictwo ogólne	0
112	gold	złoto	BG1_U1_L3	Słownictwo ogólne	0
113	hint	podpowiedź	BG1_U1_L3	Słownictwo ogólne	0
114	hospital	szpital	BG1_U1_L3	Słownictwo ogólne	0
115	it's my go	moja kolej	BG1_U1_L3	Słownictwo ogólne	0
116	it's your turn	twoja kolej	BG1_U1_L3	Słownictwo ogólne	0
117	jewellery	biżuteria	BG1_U1_L3	Słownictwo ogólne	0
118	make a mistake	zrobić błąd	BG1_U1_L3	Słownictwo ogólne	0
119	my turn	moja kolej	BG1_U1_L3	Słownictwo ogólne	0
120	neck	szyja	BG1_U1_L3	Słownictwo ogólne	0
121	never mind	nie ma znaczenia	BG1_U1_L3	Słownictwo ogólne	0
122	parrot	papuga	BG1_U1_L3	Słownictwo ogólne	0
123	pillow	poduszka	BG1_U1_L3	Słownictwo ogólne	0
124	quite	całkiem, dość	BG1_U1_L3	Słownictwo ogólne	0
125	rich	bogaty	BG1_U1_L3	Słownictwo ogólne	0
126	rubber	guma, gumka	BG1_U1_L3	Słownictwo ogólne	0
127	Shall I ....?	Czy mam ...?	BG1_U1_L3	Słownictwo ogólne	0
128	silver	srebro	BG1_U1_L3	Słownictwo ogólne	0
129	small	mały	BG1_U1_L3	Słownictwo ogólne	0
130	something	coś	BG1_U1_L3	Słownictwo ogólne	0
131	strange	dziwny	BG1_U1_L3	Słownictwo ogólne	0
132	tall	wysoki	BG1_U1_L3	Słownictwo ogólne	0
133	use	używać	BG1_U1_L3	Słownictwo ogólne	0
134	you don't have to buy me ....	nie musisz mi kupować .....	BG1_U1_L3	Słownictwo ogólne	0
135	arrive late	spóźnić się	BG1_U1_L4	Słownictwo ogólne	0
136	broken heart	złamane serce	BG1_U1_L4	Słownictwo ogólne	0
137	busy	zajęty, zapracowany	BG1_U1_L4	Słownictwo ogólne	0
138	catch the bus	złapać autobus	BG1_U1_L4	Słownictwo ogólne	0
139	classmate	kolega/koleżanka z klasy	BG1_U1_L4	Słownictwo ogólne	0
140	colleague	kolega	BG1_U1_L4	Słownictwo ogólne	0
141	customer	klient	BG1_U1_L4	Słownictwo ogólne	0
142	especially	szczególnie	BG1_U1_L4	Słownictwo ogólne	0
143	foreign language	język obcy	BG1_U1_L4	Słownictwo ogólne	0
144	high school	liceum	BG1_U1_L4	Słownictwo ogólne	0
145	irritating	irytujący	BG1_U1_L4	Słownictwo ogólne	0
146	law	prawo	BG1_U1_L4	Słownictwo ogólne	0
147	midnight	północ	BG1_U1_L4	Słownictwo ogólne	0
148	miss the bus	przegapić autobus	BG1_U1_L4	Słownictwo ogólne	0
149	pocket money	kieszonkowe	BG1_U1_L4	Słownictwo ogólne	0
150	print	drukować	BG1_U1_L4	Słownictwo ogólne	0
151	printer	drukarka	BG1_U1_L4	Słownictwo ogólne	0
152	repair	naprawić, naprawa	BG1_U1_L4	Słownictwo ogólne	0
153	shout at	krzyczeć na kogoś	BG1_U1_L4	Słownictwo ogólne	0
154	souvenir	sklep z pamiątkami	BG1_U1_L4	Słownictwo ogólne	0
155	teenager	nastolatek	BG1_U1_L4	Słownictwo ogólne	0
156	ticket	bilet	BG1_U1_L4	Słownictwo ogólne	0
157	too	też, również	BG1_U1_L4	Słownictwo ogólne	0
158	volleyball	siatkówka	BG1_U1_L4	Słownictwo ogólne	0
159	wash the dishes	zmywać naczynia	BG1_U1_L4	Słownictwo ogólne	0
160	what's the matter?	co się stało?	BG1_U1_L4	Słownictwo ogólne	0
161	always	zawsze	BG1_U1_L4	Przysłówki częstotliwości	0
162	never	nigdy	BG1_U1_L4	Przysłówki częstotliwości	0
163	often	często	BG1_U1_L4	Przysłówki częstotliwości	0
164	once	raz	BG1_U1_L4	Przysłówki częstotliwości	0
165	seldom	rzadko	BG1_U1_L4	Przysłówki częstotliwości	0
166	sometimes	czasami	BG1_U1_L4	Przysłówki częstotliwości	0
167	three times	trzy razy	BG1_U1_L4	Przysłówki częstotliwości	0
168	twice	dwa razy	BG1_U1_L4	Przysłówki częstotliwości	0
169	usually	zazwyczaj	BG1_U1_L4	Przysłówki częstotliwości	0
170	mother, mum	matka, mama	BG1_U2_L1	Rodzina	0
171	father, dad	ojciec, tata	BG1_U2_L1	Rodzina	0
172	sister	siostra	BG1_U2_L1	Rodzina	0
173	brother	brat	BG1_U2_L1	Rodzina	0
174	wife	żona	BG1_U2_L1	Rodzina	0
175	husband	mąż	BG1_U2_L1	Rodzina	0
176	parents	rodzice	BG1_U2_L1	Rodzina	0
177	daughter	córka	BG1_U2_L1	Rodzina	0
178	son	syn	BG1_U2_L1	Rodzina	0
179	child, children	dziecko, dzieci	BG1_U2_L1	Rodzina	0
180	grandmother, grandma	babcia, babunia	BG1_U2_L1	Rodzina	0
181	grandfather, grandpa	dziadek, dziadziuś	BG1_U2_L1	Rodzina	0
182	grandparents	dziadkowie	BG1_U2_L1	Rodzina	0
183	grandchild, grandchildren	wnuczek, wnuczki	BG1_U2_L1	Rodzina	0
184	granddaughter	wnuczka	BG1_U2_L1	Rodzina	0
185	grandson	wnuczek	BG1_U2_L1	Rodzina	0
186	cousin	kuzyn, kuzynka	BG1_U2_L1	Rodzina	0
187	aunt	ciotka	BG1_U2_L1	Rodzina	0
188	uncle	wujek	BG1_U2_L1	Rodzina	0
189	nephew	siostrzeniec, bratanek	BG1_U2_L1	Rodzina	0
190	niece	siostrzenica, bratanica	BG1_U2_L1	Rodzina	0
191	family	rodzina	BG1_U2_L1	Rodzina	0
192	relatives	krewni	BG1_U2_L1	Rodzina	0
193	attend school	uczęszczac do szkoły	BG1_U2_L1	Słownictwo ogólne	0
194	together	razem	BG1_U2_L1	Słownictwo ogólne	0
195	married	zamężna, zonaty, po ślubie	BG1_U2_L1	Słownictwo ogólne	0
196	cute	słodki, śliczny	BG1_U2_L1	Słownictwo ogólne	0
197	relation	relacja	BG1_U2_L1	Słownictwo ogólne	0
198	at the weekend	w weekend	BG1_U2_L1	Słownictwo ogólne	0
199	seldom, rarely, hardly ever	rzadko, rzadko kiedy	BG1_U2_L1	Słownictwo ogólne	0
200	unfortunately	niestety	BG1_U2_L1	Słownictwo ogólne	0
201	twins	bliźniaki	BG1_U2_L1	Słownictwo ogólne	0
202	college	uczelnia wyższa	BG1_U2_L1	Słownictwo ogólne	0
203	favourite	ulubiony	BG1_U2_L1	Słownictwo ogólne	0
204	male	rodzaj męski, mężczyzna	BG1_U2_L1	Słownictwo ogólne	0
205	female	rodzaj żeński, kobieta	BG1_U2_L1	Słownictwo ogólne	0
206	friendly	przyjazny	BG1_U2_L1	Słownictwo ogólne	0
207	person	osoba	BG1_U2_L1	Słownictwo ogólne	0
208	people	ludzie	BG1_U2_L1	Słownictwo ogólne	0
209	who	kto	BG1_U2_L1	Słownictwo ogólne	0
210	memory	pamięć	BG1_U2_L1	Słownictwo ogólne	0
211	dining room	jadalnia	BG1_U2_L2	Pokoje i meble	0
212	living room	pokój dzienny, duzy pokój	BG1_U2_L2	Pokoje i meble	0
213	bathroom	łazienka	BG1_U2_L2	Pokoje i meble	0
214	bedroom	sypialnia	BG1_U2_L2	Pokoje i meble	0
215	kitchen	kuchnia	BG1_U2_L2	Pokoje i meble	0
216	study	gabinet	BG1_U2_L2	Pokoje i meble	0
217	balcony	balkon	BG1_U2_L2	Pokoje i meble	0
218	garden	ogród	BG1_U2_L2	Pokoje i meble	0
219	attic	poddasze, strych	BG1_U2_L2	Pokoje i meble	0
220	table	stół	BG1_U2_L2	Pokoje i meble	0
221	chair	krzesło	BG1_U2_L2	Pokoje i meble	0
222	armchair	fotel	BG1_U2_L2	Pokoje i meble	0
223	carpet	dywan	BG1_U2_L2	Pokoje i meble	0
224	floor	podłoga	BG1_U2_L2	Pokoje i meble	0
225	TV set	telewizor	BG1_U2_L2	Pokoje i meble	0
226	curtains	zasłonki	BG1_U2_L2	Pokoje i meble	0
227	sofa	sofa, kanapa	BG1_U2_L2	Pokoje i meble	0
228	window	okno	BG1_U2_L2	Pokoje i meble	0
229	door	drzwi	BG1_U2_L2	Pokoje i meble	0
230	coffee table	stolik, ława	BG1_U2_L2	Pokoje i meble	0
231	bath	wanna	BG1_U2_L2	Pokoje i meble	0
232	shower	prysznic	BG1_U2_L2	Pokoje i meble	0
233	bed	łóżko	BG1_U2_L2	Pokoje i meble	0
234	wardrobe	szafa	BG1_U2_L2	Pokoje i meble	0
235	bedside table	stolik, szafka nocna	BG1_U2_L2	Pokoje i meble	0
236	lamp	lampa	BG1_U2_L2	Pokoje i meble	0
237	cupboards	szafki kuchenne	BG1_U2_L2	Pokoje i meble	0
238	cooker	kuchenka	BG1_U2_L2	Pokoje i meble	0
239	microwave	mikrofalówka	BG1_U2_L2	Pokoje i meble	0
240	oven	piekarnik	BG1_U2_L2	Pokoje i meble	0
241	chest of drowers	komoda	BG1_U2_L2	Pokoje i meble	0
242	desk	biurko	BG1_U2_L2	Pokoje i meble	0
243	fantastic	fantastyczny	BG1_U2_L2	Słownictwo ogólne	0
244	comfortable	wygodny, komfortowy	BG1_U2_L2	Słownictwo ogólne	0
245	location	lokalizacja	BG1_U2_L2	Słownictwo ogólne	0
246	modern	nowoczesny	BG1_U2_L2	Słownictwo ogólne	0
247	lovely	śliczny, cudowny	BG1_U2_L2	Słownictwo ogólne	0
248	cosy	przytulny	BG1_U2_L2	Słownictwo ogólne	0
249	space	przestrzeń	BG1_U2_L2	Słownictwo ogólne	0
250	stylish	stylowy	BG1_U2_L2	Słownictwo ogólne	0
251	quite	dość, całkiem	BG1_U2_L2	Słownictwo ogólne	0
252	block of flats	blok mieszkalny	BG1_U2_L2	Słownictwo ogólne	0
253	furniture	meble	BG1_U2_L2	Słownictwo ogólne	0
254	equipment	sprzęt	BG1_U2_L2	Słownictwo ogólne	0
255	wall	ściana	BG1_U2_L3	Słownictwo ogólne	0
256	ornament	dekoracja; ozdoba	BG1_U2_L3	Słownictwo ogólne	0
257	bouquet of fl owers	bukiet kwiatów	BG1_U2_L3	Słownictwo ogólne	0
258	souvenir	pamiątka	BG1_U2_L3	Słownictwo ogólne	0
259	light	lekki	BG1_U2_L3	Słownictwo ogólne	0
260	chest of drawers	komoda	BG1_U2_L3	Słownictwo ogólne	0
261	vase	wazon	BG1_U2_L3	Słownictwo ogólne	0
262	strange	dziwny	BG1_U2_L3	Słownictwo ogólne	0
263	stranger	nieznajomy	BG1_U2_L3	Słownictwo ogólne	0
264	above; over	ponad; nad	BG1_U2_L3	Słownictwo ogólne	0
265	toilet	toaleta; klozet	BG1_U2_L3	Słownictwo ogólne	0
266	stone	kamień	BG1_U2_L3	Słownictwo ogólne	0
267	shell	muszelka	BG1_U2_L3	Słownictwo ogólne	0
268	surprise	niespodzianka	BG1_U2_L3	Słownictwo ogólne	0
269	spend	spędzać	BG1_U2_L3	Słownictwo ogólne	0
270	over there	o, tam	BG1_U2_L3	Słownictwo ogólne	0
271	show somebody around	oprowadzić kogoś	BG1_U2_L3	Słownictwo ogólne	0
272	listen	słuchać	BG1_U2_L3	Słownictwo ogólne	0
273	with	z	BG1_U2_L3	Słownictwo ogólne	0
274	without	bez	BG1_U2_L3	Słownictwo ogólne	0
275	radiator	grzejnik; kaloryfer	BG1_U2_L3	Słownictwo ogólne	0
